User_id,books_info
ASXVN70L40AMR,"title:Wuthering Heights (New Windmill), authors:['Emily Brontë'], categories:['Foundlings'], review/score:5.0,title:Wuthering Heights, authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights, authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights, authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights, authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights, authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights, authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights, authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights, authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights, authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights, authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights (Riverside editions), authors:['Emily Brontë'], categories:nan, review/score:5.0,title:Wuthering Heights (Penguin Audiobooks), authors:nan, categories:nan, review/score:5.0,title:Wuthering Heights., authors:['Emily Bronte'], categories:nan, review/score:5.0,title:Wuthering Heights (Signet classics), authors:['Emily Brontë'], categories:['Audiobooks'], review/score:5.0,title:Wuthering Heights (Signet classics), authors:['Emily Brontë'], categories:['Audiobooks'], review/score:5.0,title:Ego and Archetype, authors:['Edward F. Edinger'], categories:['Psychology'], review/score:5.0,title:Wuthering Heights (College classics in English), authors:['Emily Brontë'], categories:['Fiction'], review/score:5.0,title:Jane Eyre / Wuthering Heights, authors:['Charlotte Brontë'], categories:['Boarding schools'], review/score:5.0,title:The Sunday Philosophy Club (Isabel Dalhousie Mysteries), authors:['Alexander McCall Smith'], categories:['Fiction'], review/score:5.0,title:THE PHANTOM OF THE OPERA, authors:['Gaston Leroux'], categories:['Fiction'], review/score:5.0,title:Wuthering Heights (The Franklin Library), authors:['Emily Brontë'], categories:nan, review/score:5.0,title:Fresh from the Vegetarian Slow Cooker: 200 Recipes for Healthy and Hearty One-Pot Meals That Are Ready When You Are, authors:['Robin Robertson'], categories:['Cooking'], review/score:5.0"
AOKVU6KSH4OB6,"title:THE THREE FAT MEN A Novel For Children, authors:['Robert Russell'], categories:['Literary Criticism'], review/score:5.0"
A84YWOJ6K2CUP,"title:Dream Brother: The Lives and Music of Jeff and Tim Buckley, authors:['David Browne'], categories:['Music'], review/score:5.0"
A1P2BNZCJZ0IOJ,"title:The Five Love Languages: The Secret to Love that Lasts, authors:['Gary Chapman'], categories:['Family & Relationships'], review/score:5.0,title:The Happiest Baby on the Block: The New Way to Calm Crying and Help Your Newborn Baby Sleep Longer, authors:['Harvey Karp'], categories:['FAMILY & RELATIONSHIPS'], review/score:5.0"
A3JC9FG56Z8GSO,"title:A Gown of Spanish Lace (Women of the West #11), authors:['Janette Oke'], categories:['Fiction'], review/score:5.0"
A7SUOLNN9YPIP,"title:Your Inner Child of the Past, authors:['W. Hugh Missildine'], categories:['Body, Mind & Spirit'], review/score:5.0"
A3KVOX9CXP44AB,"title:THE CATCHER IN THE RYE, authors:['J.D. Salinger'], categories:['Fiction'], review/score:5.0,title:Animal Farm (Signet Classics, CT304), authors:nan, categories:nan, review/score:5.0,title:The Catcher in the Rye, authors:nan, categories:nan, review/score:5.0,title:Animal Farm 50TH Anniversary Edition, authors:['George Orwell'], categories:['Fiction'], review/score:5.0,title:The Catcher in the Rye [Audiobook] [Cd] [Unabridged] (Audio CD), authors:['John Donovan'], categories:['Young Adult Fiction'], review/score:5.0,title:ANIMAL FARM - A Fairy Story (Time Reading Program Special Edition), authors:['Gillian Fenwick'], categories:['Biography & Autobiography'], review/score:5.0,title:Animal Farm, authors:nan, categories:nan, review/score:5.0"
A38HCCPJH16NE6,"title:Making Pure Corn Whiskey: A Professional Guide For Amateur And Micro Distillers, authors:['Ian Smiley'], categories:['Cooking'], review/score:5.0"
A1RJJOVM1V5KAY,"title:Temporal GIS: Advanced Functions for Field-Based Applications, authors:['George Christakos', 'Patrick Bogaert', 'Marc Serre'], categories:['Mathematics'], review/score:5.0"
A1ISI256EQB9EK,"title:Captain Horatio Hornblower, authors:['Cecil Scott Forester'], categories:['France'], review/score:5.0,title:Captain Horatio Hornblower, authors:['Cecil Scott Forester'], categories:['France'], review/score:5.0,title:Captain Horatio Hornblower, authors:['Cecil Scott Forester'], categories:['France'], review/score:5.0,title:Death of a Citizen: Matt Helm #1, authors:nan, categories:nan, review/score:5.0,title:Captain Horatio Hornblower,, authors:['Cecil Scott Forester'], categories:['France'], review/score:5.0,title:Captain Horatio Hornblower,, authors:['Cecil Scott Forester'], categories:['France'], review/score:5.0"
